,Country,Year,Government R&D,Corporate R&D,Venture capital,Private equity expansion capital,Public markets,Asset finance,Asset Finance minus Re-invested equity,Small distributed capacity,Private equity buy-outs,Public markets investor exits,Corporate M&A,Project acquisition & refinancing,Total: M&A/ buy-outs etc.,Number of policies
48,India,2008,0.056,0.066,0.066,0.134,0.21,2.67,2.582,0.444,0.102,0.018000000000000002,0.33,0.716,1.166,2
49,India,2009,0.108,0.066,0.032,0.06,0.234,2.2359999999999998,2.162,0.6940000000000001,0.038,0.048,0.448,0.698,1.23,3
50,India,2010,0.147,0.114,0.078,0.159,0.318,4.566,4.512,1.827,0.057,0.14400000000000002,0.5609999999999999,0.96,1.719,3
51,India,2011,0.096,0.086,0.052000000000000005,0.048,0.198,3.792,3.75,1.5019999999999998,0.058,0.004,0.5920000000000001,0.846,1.5,6
52,India,2012,0.094,0.08199999999999999,0.048,0.032,0.076,3.4019999999999997,3.344,1.398,0.06,0.008,0.18600000000000005,1.06,1.314,2
53,India,2013,0.104,0.08,0.016,0.026,0.196,3.43,3.406,0.804,0.01,0.034,0.324,0.974,1.34,0
54,India,2014,0.135,0.129,0.03,0.051,0.447,6.852,6.747000000000001,1.101,0.12299999999999997,0.048,0.336,2.157,2.664,4
55,India,2015,0.132,0.12299999999999997,0.042,0.054000000000000006,0.36,8.030999999999999,7.83,0.978,0.10800000000000001,0.045,0.5519999999999999,2.5380000000000003,3.2430000000000003,3
56,India,2016,0.153,0.129,0.024,0.051,0.18600000000000003,7.425,7.3020000000000005,0.975,0.096,0.192,0.885,2.844,4.0169999999999995,2
57,India,2017,0.153,0.207,0.024,0.021,0.16799999999999998,8.177999999999999,8.091000000000001,1.275,0.318,0.08399999999999999,0.39899999999999997,3.588,4.385999999999999,2
58,India,2018,0.16499999999999998,0.234,0.006,0.066,0.18,7.26,7.0859999999999985,1.146,0.39,0.003,0.43799999999999994,3.714,4.545,0
59,India,2019,0.171,0.231,0.006,0.054000000000000006,0.198,6.903,6.800999999999998,1.5630000000000002,0.096,0.0,0.41100000000000003,2.5140000000000002,3.0210000000000004,0
60,United States,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61,United States,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
62,United States,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
63,United States,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,United States,2004,0.532,0.532,0.11200000000000003,0.084,0.084,8.988000000000003,8.96,2.24,0.22400000000000006,0.11200000000000003,0.6160000000000001,1.4280000000000002,2.3800000000000003,4
65,United States,2005,0.54,0.513,0.162,0.27,0.972,13.5,13.446,2.727,0.999,0.621,2.052,3.375,7.074,3
66,United States,2006,0.5940000000000001,0.5940000000000001,0.324,0.7829999999999999,2.4030000000000005,21.384000000000004,20.790000000000006,2.43,0.486,0.7020000000000001,2.7810000000000006,5.0489999999999995,9.017999999999999,8
67,United States,2007,0.675,0.575,0.525,0.875,4.925,26.575,25.8,3.475,0.825,0.975,4.95,7.475,14.225,7
68,United States,2008,0.644,0.759,0.759,1.541,2.415,30.705,29.693,5.106,1.173,0.207,3.795,8.234,13.409,16
69,United States,2009,1.296,0.7919999999999999,0.384,0.72,2.8080000000000003,26.832,25.944000000000003,8.328000000000001,0.456,0.5760000000000001,5.376,8.376,14.76,6
70,United States,2010,1.1270000000000002,0.8740000000000001,0.5980000000000001,1.219,2.438,35.006,34.59200000000001,14.007,0.43700000000000006,1.104,4.301,7.36,13.179,3
71,United States,2011,1.008,0.903,0.546,0.504,2.079,39.816,39.375,15.771,0.609,0.042,6.216,8.883,15.75,1
72,United States,2012,1.034,0.902,0.528,0.35200000000000004,0.836,37.422,36.784,15.378000000000002,0.66,0.08800000000000001,2.0460000000000003,11.66,14.454,0
73,United States,2013,1.144,0.88,0.17600000000000002,0.28600000000000003,2.156,37.73,37.466,8.844000000000003,0.11,0.374,3.5639999999999996,10.714,14.74,0
74,United States,2014,0.99,0.946,0.22,0.374,3.278,50.24800000000001,49.478,8.074,0.902,0.35200000000000004,2.464,15.818,19.536,1
75,United States,2015,1.056,0.984,0.336,0.43200000000000005,2.88,64.24799999999999,62.64,7.824,0.8640000000000001,0.36,4.416,20.304000000000002,25.944000000000003,0
76,United States,2016,1.275,1.075,0.2,0.425,1.55,61.875,60.85,8.125,0.8,1.6,7.375,23.7,33.475,1
77,United States,2017,1.224,1.656,0.192,0.16799999999999998,1.344,65.42399999999999,64.72800000000001,10.2,2.544,0.6719999999999999,3.1919999999999997,28.704,35.087999999999994,0
78,United States,2018,1.3199999999999998,1.872,0.048,0.528,1.44,58.08,56.688,9.168,3.12,0.024,3.5039999999999996,29.712,36.36,1
79,United States,2019,1.368,1.848,0.048,0.43200000000000005,1.584,55.224,54.408,12.504000000000001,0.768,0.0,3.2880000000000003,20.112000000000002,24.168000000000003,0
